Vardas      Pavardė           ND1  ND2  ND3  ND4  ND5  Egzaminas
Mantas      Kazlauskas         8    7    9   10    6   9
Tomas       Petrauskas         6    5    7    8    6   7
Lukas       Jankauskas         9    9    8   10    9   10
Dominykas   Žukauskas          7    6    8    7    7   8
Paulius     Balčiūnas          5    6    5    7    6   6
Karolis     Vaitkus           10    9   10    9   10   10
Gabrielius  Stankevičius       7    8    6    7    8   8
Rokas       Butkus             6    7    5    6    7   7
Dovydas     Pocius             8    8    7    9    8   9
Arnas       Navickas           5    5    6    6    5   6
Milda       Kazlauskaitė       9   10    9    8    9   10
Gabija      Petrauskaitė       7    8    7    6    8   8
Ieva        Jankauskaitė      10    9   10    9   10   10
Ugnė        Žukauskaitė        6    7    6    7    6   7
Austėja     Balčiūnaitė        8    7    8    9    8   9
